Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Мазур,Хома,Костянтинович,Чоловік,19-08-1995,Акушер,місто Тростянець,"провулок Бузкова, буд. 8, Авдіївка, 60264",+380 14 206 95 51,marusia96@example.org
Безбородько,Георгій,Леопольдович,Чоловік,20-09-1978,Маркетолог,село Хоростків,"вулиця Західний 3-й, буд. 876, Армянськ, 10438",332 11 60,oberemkodanylo@example.org
Єрьоменко,Єфрем,Зиновійович,Чоловік,16-08-2002,Біолог,хутір Часів Яр,"площа Колекційна, буд. 8, Мар'їнка, 03604",294 47 38,opanastereshchuk@example.com
Шухевич,Георгій,Несторович,Чоловік,19-01-1997,Провізор,селище Ладижин,"шосе Отрада, буд. 016 кв. 458, Волноваха, 16226",+380 03 106-78-27,semen43@example.org
Шутько,Миколай,Володимирович,Чоловік,01-12-1942,Акушер,село Балта,"проспект Лінія 22-га, буд. 846, Решетилівка, 34084",+380 12 139-95-84,varfolomiitovstukha@example.org
Бабко,Валерій,Мартинович,Чоловік,28-07-2007,Астрофізик,селище Рівне,"площа Балтський 2-й, буд. 3, Харків, 73841",+380 (99) 364-55-20,makymenko@example.com
Яремко,Болеслав,Зорянович,Чоловік,17-06-1979,Педагог,хутір Тальне,"провулок Комітетська, буд. 252 кв. 1, Копичинці, 43508",657 63 28,niurchenko@example.org
Закусило,Остап,Ігнатович,Чоловік,07-04-1960,Електромонтер,хутір Южне,"набережна Вернидуба, буд. 784, Умань, 89148",+380 77 583-42-27,dannaaronets@example.org
Чарниш,Азар,Сергійович,Чоловік,13-12-1945,Кіноактор,місто Калуш,"провулок Івана Микитенка, буд. 2 кв. 513, Керч, 01548",758-78-71,oryna17@example.net
Лагода,Марко,Георгійович,Чоловік,08-10-1963,Пекар,селище Золочів,"площа Гаршина, буд. 229, Хирів, 66098",+380 (07) 677-20-22,martyn06@example.org
Верес,Демид,Яремович,Чоловік,17-08-1962,Гірничий інженер,місто Світловодськ,"шосе Косвена, буд. 408, Підгородне, 95781",675-37-72,demianriabovil@example.org
Скоробогатько,Богдан,Йосипович,Чоловік,05-11-1986,Агроном,хутір Мукачево,"вулиця Олександра Блока, буд. 3 кв. 610, Добромиль, 03973",008 777-83-58,onysym63@example.net
Бгиденко,Левко,Едуардович,Чоловік,22-05-1948,Живописець,село Тисмениця,"вулиця Санаторний, буд. 1 кв. 65, Радомишль, 91326",+380 (55) 872-95-01,volodymyrfastenko@example.net
Щербань,Охрім,Аврелійович,Чоловік,01-10-1992,Бібліограф,селище Заставна,"узвіз Елеваторна, буд. 761 кв. 4, Лохвиця, 01533",+380 10 204-38-38,pavlo36@example.net
Шамрай,Мирон,Трохимович,Чоловік,22-04-1996,Дерун,хутір Золотоноша,"узвіз Гагарінське плато, буд. 53, Ізяслав, 98349",032 350 04 25,anastasiiateslenko@example.com
Фурс,Семен,Соломонович,Чоловік,08-07-1987,Археолог,хутір Устилуг,"площа Плієва, буд. 28 кв. 47, Підгородне, 75587",+380 67 438 33 20,tsarenkofrants@example.com
Єрошенко,Теодор,Тарасович,Чоловік,23-07-1957,Електротехнік,селище Балта,"площа Якутська, буд. 17 кв. 205, Чортків, 90183",051 871 13 12,violetta00@example.net
Байдак,Антон,Артемович,Чоловік,03-04-1985,Соціолог,місто Червоноград,"набережна Новікова 2-га, буд. 40, Луганськ, 38827",259-90-54,kabaliukzakhar@example.net
Шведченко,Опанас,Андрійович,Чоловік,03-10-1955,Агроном,хутір Славутич,"парк Тираспольська, буд. 56, Баштанка, 47386",+380 27 586 80 66,serhiibaranyk@example.net
Гресь,Вʼячеслав,Ігорович,Чоловік,02-12-1988,Флорист,селище Ровеньки,"узвіз Урожайна, буд. 41 кв. 55, Новодністровськ, 50044",346 14 21,anita71@example.org
Лемешко,Дан,Леонтійович,Чоловік,26-08-1974,Журналіст,селище Лиман ,"проспект Слобідський узвіз, буд. 7 кв. 61, Глобине, 91073",+380 28 623-70-51,iarynakanivets@example.com
Адаменко,Єфрем,Веніяминович,Чоловік,22-07-1971,Ріелтор,село Єнакієве,"парк Іспанський, буд. 172 кв. 1, Калуш, 08400",+380 73 747 37 60,zhalilodemyd@example.net
Забарний,Августин,Федорович,Чоловік,07-04-1964,Літературознавець,хутір Острог,"сквер Аеропортівський 4-й, буд. 4, Деражня, 15359",+380 94 285-32-98,lchalyi@example.com
Доценко,Хома,Михайлович,Чоловік,31-05-1970,Публіцист,селище Новий Калинів,"шосе Весняна, буд. 9, Сватове, 24882",580-33-41,lukianzasenko@example.org
Балабан,Остап,Теодорович,Чоловік,03-07-1999,Випробувач,селище Судова Вишня,"парк Тупиковий 1-й, буд. 2 кв. 378, Вільногірськ, 11414",+380 (39) 552-15-18,rpavlenko@example.org
Алексюк,Венедикт,Хомович,Чоловік,17-03-1971,Клоун,місто Новомиргород,"площа Крижанівський, буд. 3, Нове Давидково, 10885",+380 26 126-71-77,martymyshyn@example.org
Масляк,Демʼян,Вадимович,Чоловік,02-07-1976,Електромонтер,селище Радомишль,"провулок Мічманський 1-й, буд. 4 кв. 9, Ватутіне, 74312",676-43-02,miushchenko@example.com
Рудько,Андрій,Орестович,Чоловік,12-12-1996,Електрик,селище Старобільськ,"площа Деволанівський узвіз, буд. 634, Сновськ, 21409",186-31-53,sbezborodko@example.com
Шахрай,Симон,Вʼячеславович,Чоловік,22-04-1938,Конструктор,місто Дніпро ,"провулок Толбухіна, буд. 77 кв. 52, Шпола, 91423",034 398 79 14,avreliiaverchenko@example.net
Вертипорох,Теодор,Йосипович,Чоловік,15-11-1991,Ботанік,місто Обухів,"узвіз Глазунова 2-й, буд. 7 кв. 21, Хорол , 64352",+380 20 900-76-30,bohdan73@example.com
Лазаренко,Альберт,Євгенійович,Чоловік,28-11-1939,Вчитель,село Гірське,"набережна Курортний, буд. 07 кв. 00, Хрустальний, 99706",862 01 75,arkadii04@example.com
Колісниченко,Ілля,Віталійович,Чоловік,18-07-1943,Випробувач,хутір Миколаївка ,"провулок Новосельского, буд. 92 кв. 87, Моспине, 29158",+380 59 183-25-67,crak@example.net
Венгринович,Микита,Мирославович,Чоловік,08-07-1950,Диригент,хутір Шумськ,"парк Східний, буд. 41 кв. 150, Зіньків, 84774",478 69 22,rostyslav24@example.net
Чуприна,Леопольд,Костянтинович,Чоловік,28-02-1986,Гірничий інженер,село Ворожба,"площа Хімічний 3-й, буд. 73 кв. 21, Сіверськ, 01413",+380 87 021-07-53,stefankorsun@example.org
Товстуха,Богодар,Євгенійович,Чоловік,30-10-1968,Кіноактор,селище Ходорів,"парк Каспійський, буд. 7 кв. 7, Великі Мости, 06698",+380 37 869-09-46,kzabarnyi@example.org
Товстоліс,Хома,Венедиктович,Чоловік,06-08-1964,Візажист,село Балаклія,"парк Штильова, буд. 804 кв. 65, Довжанськ, 35220",+380 78 932-76-21,teodor96@example.com
Михайлюк,Павло,Олексович,Чоловік,26-07-1958,Різноробочий,село Хотин,"парк Чорноморський 13-й, буд. 78 кв. 6, Скалат, 04046",002 497-45-38,masokhasolomon@example.com
Сич,Федір,Йосипович,Чоловік,18-05-1939,Етнограф,селище Фастів,"парк Лютеранський, буд. 16 кв. 140, Южне, 53140",318-16-65,iaroslav34@example.net
Мазур,Віктор,Симонович,Чоловік,26-10-1968,Пекар,хутір Зміїв,"набережна Балтський 6-й, буд. 127, Жовква, 43260",+380 88 761-64-57,qteslia@example.net
Євтушенко,Онисим,Болеславович,Чоловік,01-09-1998,Доцент,хутір Перещепине,"вулиця Артилерійська, буд. 57 кв. 743, Дружківка, 12680",+380 24 073-82-46,ivasiukbohdanna@example.net
